url,staff_directory_url,staff_directory_reason,coaches_url,coaches_reason,school
https://alcornsports.com/sports/softball/coaches,https://alcornsports.com/staff-directory,JSON parse error: Expecting value: line 1 column 1 (char 0),https://alcornsports.com/sports/softball/coaches,JSON parse error: Expecting value: line 1 column 1 (char 0),Alcorn State University
https://goarmywestpoint.com/sports/softball/coaches,https://goarmywestpoint.com/staff-directory,no softball coaches found,https://goarmywestpoint.com/sports/softball/coaches,no softball coaches found,Army West Point
https://ballstatesports.com/sports/softball/coaches,https://ballstatesports.com/staff-directory,no softball coaches found,https://ballstatesports.com/sports/softball/coaches,no softball coaches found,Ball State University
https://athletics.bellarmine.edu/sports/softball/coaches,https://athletics.bellarmine.edu/staff-directory,no softball coaches found,https://athletics.bellarmine.edu/sports/softball/coaches,no softball coaches found,Bellarmine University
https://goterriers.com/sports/softball/coaches,https://goterriers.com/staff-directory,no softball coaches found,https://goterriers.com/sports/softball/coaches,no softball coaches found,Boston University
https://byucougars.com/sports/softball/roster,https://byucougars.com/staff-directory,no softball coaches found,https://byucougars.com/sports/softball/roster,no softball coaches found,Brigham Young University
https://brownbears.com/sports/softball/coaches,https://brownbears.com/staff-directory,no softball coaches found,https://brownbears.com/sports/softball/coaches,no softball coaches found,Brown University
https://bucknellbison.com/sports/softball/coaches,https://bucknellbison.com/staff-directory,no softball coaches found,https://bucknellbison.com/sports/softball/coaches,no softball coaches found,Bucknell University
https://gorunners.com/sports/softball/coaches,https://gorunners.com/staff-directory,no softball coaches found,https://gorunners.com/sports/softball/coaches,no softball coaches found,"California State University, Bakersfield"
https://gocamels.com/sports/softball/coaches,https://gocamels.com/staff-directory,JSON parse error: Expecting value: line 1 column 1 (char 0),https://gocamels.com/sports/softball/coaches,JSON parse error: Expecting value: line 1 column 1 (char 0),Campbell University
https://gocolgateraiders.com/sports/softball/coaches,https://gocolgateraiders.com/staff-directory,no softball coaches found,https://gocolgateraiders.com/sports/softball/coaches,no softball coaches found,Colgate University
https://gocreighton.com/sports/softball/coaches,https://gocreighton.com/staff-directory,no softball coaches found,https://gocreighton.com/sports/softball/coaches,no softball coaches found,Creighton University
